,ID_VANO,RECONSTRUCCION,FLAG,NUM_CONDUCTORES,NUM_CONDUCTORES_FIABLE,CONFIG_CONDUCTORES,COMPLETITUD,PUNTUACION_APRIORI,PUNTUACION_APOSTERIORI
99,G_13576829_13578393,Posible,good_fit,3,True,0,full,9.649482018891531,5.067989033494859
101,G_13578478_13578488,Posible,good_fit,3,True,0,full,9.345774010116013,9.88503904598057
102,G_13578378_13578406,Posible,good_fit,3,True,0,full,9.25442044599669,9.59722926262999
103,G_13578322_13578396,Posible,good_fit,3,True,0,full,9.412447068953988,9.064219505835498
104,G_13578284_13578457,Posible,good_fit,3,True,0,partially incomplete,9.108975545155813,6.544883902095389
105,G_13578339_13578414,Posible,good_fit,3,True,0,full,9.76757570907007,7.919064024137886
106,G_13578294_13578402,Posible,good_fit,3,True,0,full,9.980215241639241,9.970291168809762
108,G_13578352_13578441,Posible,good_fit,3,True,0,partially incomplete,5.766200978950356,9.469013142818072
109,G_13578357_13578466,Posible,no_polilineas,3,False,1,partially incomplete,2.437224591714395,3.0000921853951064
110,G_13578344_13578397,Posible,good_fit,3,True,0,full,9.866490497777367,9.79046811440651
111,G_13578306_13578421,Posible,good_fit,3,True,0,full,9.580970340640192,9.828833237349656
113,G_13578400_13578439,Posible,no_polilineas,3,False,0,partially incomplete,0.03460623716610791,6.661025134468357
114,G_13578368_13578436,Posible,good_fit,3,True,0,partially incomplete,9.949388643105964,9.821744227221618
116,G_13528124_13578378,Posible,found_empty_polis,3,True,0,full,11.214286637401258,6.907641115017379
117,G_13578295_13578322,Posible,good_fit,3,True,0,full,9.622441822622323,9.156171669718209
118,G_13578452_13578460,Posible,good_fit,3,True,0,partially incomplete,9.09720355452955,7.093791578761309
119,G_13578350_13578524,Posible,good_fit,3,True,0,full,9.333691286752508,9.759245063894516
120,G_13578310_13578524,Posible,good_fit,3,True,0,full,9.244797333393764,9.94588869899692
122,G_13578350_13578419,Posible,good_fit,3,True,0,full,9.310025215047999,9.269142337487565
123,G_13578331_13578492,Posible,good_fit,3,True,0,full,9.25848999272923,9.291527612701895
125,G_13578352_13578455,Posible,good_fit,3,True,0,full,9.445947229157387,9.919349752216501
126,G_13578283_13578344,Posible,good_fit,3,True,0,partially incomplete,9.906806884722135,6.676220690004379
127,G_13578306_13578466,Posible,good_fit,3,True,0,full,9.127644019078664,9.740490929115749
128,G_13578288_13578360,Posible,found_empty_polis,3,True,0,full,9.695780652865615,7.862303324881414
135,G_13578384_13578512,Posible,good_fit,3,True,0,full,9.940212334568118,9.983450001076534
136,G_13578289_13578451,Posible,good_fit,3,True,0,full,9.95257821553755,9.989590623113113
137,G_13578444_13578450,Posible,good_fit,3,True,0,full,9.423647150540134,9.961884234800802
138,G_13578394_13578495,Posible,good_fit,3,True,0,full,9.100835921788441,9.860969051635562
139,G_13578338_13578359,Posible,good_fit,3,True,0,full,9.343029368439975,9.94777899762172
144,G_13578478_13578527,Posible,good_fit,3,True,0,full,9.108106307288377,9.84359632916102
145,G_13578405_13578509,Posible,found_empty_polis,3,True,0,full,9.270938129726604,7.118560055093199
146,G_13578461_13578480,Posible,good_fit,3,True,0,full,9.019311785297353,5.670684964604666
148,G_13578320_13578492,Posible,good_fit,3,True,0,full,9.38451078062331,9.554131587697668
149,G_13578409_13578432,Posible,good_fit,3,True,0,full,9.895371713233434,9.069900179683774
150,G_13578391_13578414,Posible,good_fit,3,True,0,full,9.65494546433866,8.318291530624169
151,G_13578339_13578371,Posible,good_fit,3,True,0,full,9.436341247930333,9.79850474947418
152,G_13578321_13578371,Posible,found_empty_polis,3,False,0,full,8.781945208810964,9.93622094293546
153,G_13578402_13578415,Posible,no_polilineas,3,True,1,full,1.4933082763112036,8.188039425613402
154,G_13578415_13578497,Posible,found_empty_polis,3,False,0,partially incomplete,8.67189241242429,4.102657856522003
