,ID_VANO,RECONSTRUCCION,FLAG,NUM_CONDUCTORES,NUM_CONDUCTORES_FIABLE,CONFIG_CONDUCTORES,COMPLETITUD,PORCENTAJE_HUECOS,ERROR_POLILINEA,ERROR_CATENARIA
111,G_13578306_13578421,Posible,good_fit,3,True,0,full0,47.33679594922514,1.3567483418715423,0.6976103079706287
112,G_13576906_13576907,Imposible,bad_cluster,6,False,0,full0,0.0,0.0,0.0
113,G_13578400_13578439,Imposible,empty_conductor,0,False,0,incomplete6,0.0,0.0,0.0
114,G_13578368_13578436,Posible,good_fit,3,True,0,partially incomplete4,48.35952758593924,2.6962524891463553,0.8934790621065406
115,G_13576780_13576812,Posible,no_vertices,3,False,0,full0,50.0,0.0,0.4016356777812411
116,G_13528124_13578378,Imposible,bad_cluster,3,False,0,full0,0.0,0.0,0.0
117,G_13578295_13578322,Posible,good_fit,3,True,0,full0,47.673496156332476,1.613719965189615,0.4704071868806007
118,G_13578452_13578460,Posible,good_fit,3,True,0,partially incomplete4,47.90525116929373,1.3606519803284112,0.8525215013147004
119,G_13578350_13578524,Imposible,bad_cluster,3,False,0,full0,0.0,0.0,0.0
120,G_13578310_13578524,Posible,good_fit,3,True,0,full0,48.23981015509338,1.579826316380906,0.0762678821351275
121,G_13578341_13578423,Imposible,empty_cloud,0,False,None,None,0.0,0.0,0.0
122,G_13578350_13578419,Posible,good_fit,3,True,0,full0,44.46742063565056,1.6435657379565072,0.24503771748972578
123,G_13578331_13578492,Posible,good_fit,3,True,0,full0,47.83069997782269,0.6016061307111773,0.47640547350857426
124,G_13528004_13528124,Posible,no_vertices,3,False,0,full0,50.0,0.0,0.1789024714472576
125,G_13578352_13578455,Posible,good_fit,3,True,0,full0,48.528625096408085,2.3931079162139555,1.318157387400503
126,G_13578283_13578344,Imposible,bad_cluster,3,False,0,partially incomplete2,0.0,0.0,0.0
127,G_13578306_13578466,Posible,good_fit,3,True,0,full0,48.08050058448785,1.2061415134944584,0.6634565513950001
128,G_13578288_13578360,Posible,good_fit,3,True,0,full0,42.10855149195205,2.478898203595635,1.2305085675334988
129,G_13576888_13576889,Imposible,bad_cluster,7,False,0,full0,0.0,0.0,0.0
130,G_13576889_13576890,Posible,no_vertices,3,False,0,full0,50.0,0.0,0.18659001606163828
131,G_13576894_13576895,Imposible,bad_cluster,6,False,0,full0,0.0,0.0,0.0
132,G_13577127_13577128,Imposible,bad_cluster,7,False,0,full0,0.0,0.0,0.0
133,G_13576906_13577130,Posible,no_vertices,3,False,0,full0,50.0,0.0,0.1599268409560353
134,G_13576792_13578514,Imposible,empty_conductor,0,False,1,incomplete9,0.0,0.0,0.0
135,G_13578384_13578512,Posible,good_fit,3,True,0,full0,47.10770438386788,1.0838427643225692,0.6899259267033904
136,G_13578289_13578451,Posible,good_fit,3,True,0,full0,47.42673626190312,0.9729937348276095,0.6727441585620942
137,G_13578444_13578450,Posible,good_fit,3,True,0,full0,48.73628425883616,2.788183349219622,0.882036539730383
138,G_13578394_13578495,Imposible,bad_cluster,3,False,0,full0,0.0,0.0,0.0
139,G_13578338_13578359,Posible,good_fit,3,True,0,full0,48.3928536047111,2.7610893808376153,0.9274508981447575
140,G_13576775_13576858,Posible,no_vertices,3,False,0,full0,50.0,0.0,0.3087043704614987
141,G_13576793_13576884,Imposible,bad_cluster,6,False,0,full0,0.0,0.0,0.0
142,G_13576748_13576801,Imposible,bad_cluster,6,False,0,full0,0.0,0.0,0.0
143,G_13576762_13576851,Imposible,bad_cluster,6,False,0,full0,0.0,0.0,0.0
144,G_13578478_13578527,Posible,good_fit,3,True,0,full0,48.54722100923046,0.1311510286169261,0.12302254197034229
145,G_13578405_13578509,Posible,no_vertices,3,True,0,full0,50.0,0.0,0.4992072950752287
146,G_13578461_13578480,Posible,good_fit,3,True,0,full0,47.99397939271173,1.7248613617858048,0.496872910785736
147,G_13578381_13578395,Imposible,empty_conductor,0,False,0,incomplete10,0.0,0.0,0.0
148,G_13578320_13578492,Imposible,bad_cluster,3,False,0,full0,0.0,0.0,0.0
149,G_13578409_13578432,Posible,good_fit,3,True,0,full0,48.3396092803838,1.4311955928607782,0.33959505767691944
150,G_13578391_13578414,Posible,good_fit,3,True,0,full0,47.40751789714522,1.0227348068504798,0.5451899809649745
151,G_13578339_13578371,Imposible,bad_cluster,3,False,0,full0,0.0,0.0,0.0
152,G_13578321_13578371,Imposible,bad_cond_number,2,True,0,full1,0.0,0.0,0.0
153,G_13578402_13578415,Imposible,bad_cluster,3,False,1,full0,0.0,0.0,0.0
154,G_13578415_13578497,Imposible,empty_conductor,0,False,0,partially incomplete3,0.0,0.0,0.0
