,ID_VANO,RECONSTRUCCION,FLAG,NUM_CONDUCTORES,NUM_CONDUCTORES_FIABLE,CONFIG_CONDUCTORES,COMPLETITUD,PORCENTAJE_HUECOS,ERROR_POLILINEA,ERROR_CATENARIA
0,G_13645821_13645987,Posible,good_fit,3,True,0,full0,49.17327523724884,2.7836758399656367,1.0573190042271805
1,G_13645776_13645990,Posible,no_vertices,3,True,0,partially incomplete4,50.0,0.0,0.8297545850338299
2,G_13645684_13645777,Posible,good_fit,3,True,0,full0,48.49968474386441,2.357470097883874,1.2803965945389943
3,G_13615863_13645824,Posible,good_fit,3,True,0,full0,45.89224021991884,1.5539031102653025,0.28318861263618544
4,G_13645732_13645823,Posible,good_fit,3,True,0,full0,48.528401756099925,2.718405803624567,0.21450585193089025
5,G_13499432_13645947,Imposible,bad_cluster,3,False,0,full0,0.0,0.0,0.0
6,G_13645686_13645952,Posible,good_fit,3,True,0,full0,48.30792693573827,1.2391112648369982,0.6955189601574445
7,G_13037116_13511437,Imposible,empty_conductor,0,False,0,incomplete8,0.0,0.0,0.0
8,G_13618881_13645690,Posible,no_vertices,3,True,0,full0,50.0,0.0,0.39886052855977594
9,G_13645790_13645962,Posible,no_vertices,3,True,0,full0,50.0,0.0,0.3035840022422107
10,G_13645744_13645920,Posible,good_fit,3,True,0,full0,47.46842940138624,0.4647243895707029,0.25508972310280487
11,G_13645844_13645888,Posible,good_fit,3,True,0,full0,48.829364439701344,0.5975780461329223,0.3669832470738165
12,G_13645647_13645791,Posible,good_fit,3,True,0,full1,48.509931448590805,2.6593681719287017,0.7020518448077558
13,G_13645750_13645842,Posible,good_fit,3,True,0,full0,48.71624960895529,1.5873289912995132,0.8693153698438604
14,G_13645707_13645750,Posible,no_vertices,3,True,0,partially incomplete4,50.0,0.0,1.2670450045514574
15,G_13645718_13645899,Posible,good_fit,3,True,0,full0,47.475864961095745,2.776020769953563,0.8091601107871933
16,G_13645765_13645809,Posible,good_fit,3,True,0,full0,46.81090227239235,1.8412794506912862,0.35788478441390065
17,G_13645665_13645719,Posible,good_fit,3,True,0,full0,48.49291829252448,1.0597758740567162,0.7602265402875247
18,G_13088932_13645854,Posible,good_fit,3,True,0,full0,48.640189108147474,1.5442767925735297,0.9254754156915445
19,G_13145989_13645938,Posible,good_fit,3,True,0,full0,48.15104485758044,2.4090336250780355,1.3257903708618315
20,G_13645721_13645813,Posible,good_fit,3,True,0,full0,47.613597934595646,2.310631930552784,1.3588592252509357
21,G_13645767_13645812,Posible,good_fit,3,True,0,full0,47.32765827810905,2.6552848743413424,0.6316962499604611
22,G_13645817_13645977,Imposible,bad_cluster,3,False,0,full0,0.0,0.0,0.0
23,G_13645668_13645817,Posible,no_vertices,3,True,0,full0,50.0,0.0,0.45541773030515903
24,G_13645771_13645980,Posible,good_fit,3,True,0,full0,48.59403307354907,2.7461657841964406,0.9950056621710962
