,ID_VANO,RECONSTRUCCION,FLAG,NUM_CONDUCTORES,NUM_CONDUCTORES_FIABLE,CONFIG_CONDUCTORES,COMPLETITUD,PUNTUACION_APRIORI,PUNTUACION_APOSTERIORI
0,G_13578462_13689863,Posible,good_fit,3,True,0,full,9.30791360148266,5.729047978539048
1,G_13576896_13576897,,bad_cond_number,0,False,None,None,-99.0,-99.0
2,G_13576773_13576897,,bad_cond_number,0,False,None,None,-99.0,-99.0
3,G_13576773_13576774,,bad_cond_number,0,False,None,None,-99.0,-99.0
4,G_13576907_13576908,,bad_cond_number,0,False,None,None,-99.0,-99.0
5,G_13578307_13578514,Posible,good_fit,3,False,0,partially incomplete,8.641577472525451,4.11388309760542
6,G_13578498_13578512,Posible,good_fit,3,True,0,full,9.973676138310708,9.98627814655683
7,G_13578435_13578450,Posible,good_fit,3,True,0,full,9.455737883468753,9.96229873622021
8,G_13578338_13578340,Posible,good_fit,3,True,0,full,9.321779882213956,9.977956066281354
9,G_13578470_13578521,Posible,good_fit,3,True,0,full,9.06270738134636,9.980834956290725
10,G_13578475_13578503,Posible,good_fit,3,True,0,full,9.360699891034889,9.695746790463652
11,G_13578475_13578516,,bad_cluster,2,False,0,full,9.197658683100776,-99.0
12,G_13576793_13576873,,bad_cond_number,0,False,None,None,-99.0,-99.0
13,G_13576748_13576812,,bad_cond_number,0,False,None,None,-99.0,-99.0
14,G_13576762_13576801,,bad_cond_number,0,False,None,None,-99.0,-99.0
15,G_13576736_13576740,,bad_cond_number,0,False,None,None,-99.0,-99.0
16,G_13578445_13578497,Posible,good_fit,3,True,0,full,9.882654941032579,9.981924709472118
17,G_13578298_13578310,Posible,good_fit,3,True,0,full,9.890359529721804,9.96339511493923
18,G_13578331_13578405,Posible,good_fit,3,True,0,full,9.788578179996627,9.87265014703748
19,G_13576769_13576858,Posible,no_polilineas,3,True,1,partially incomplete,4.201640958067235,5.500898640322016
20,G_13578278_13578317,Posible,good_fit,3,True,0,full,9.202064221301054,9.401693949013897
21,G_13578309_13578415,Posible,good_fit,3,True,0,full,9.429972664550158,9.384799378969003
22,G_13578299_13578463,Posible,good_fit,3,True,0,full,9.581345820127996,9.926574663970342
23,G_13578374_13578463,Posible,found_empty_polis,3,True,0,full,10.795629601114628,9.989609395124026
24,G_13578285_13578315,,empty_cloud,0,False,None,None,-99.0,-99.0
25,G_13576890_13576891,,bad_cond_number,0,False,None,None,-99.0,-99.0
26,G_13577128_13577129,,bad_cond_number,0,False,None,None,-99.0,-99.0
27,G_13578282_13578382,Posible,good_fit,3,True,0,partially incomplete,9.464502967362998,9.839086946420666
28,G_13578407_13578444,Posible,good_fit,3,True,0,partially incomplete,8.77298257763541,9.878025287046057
29,G_13578394_13578435,Posible,good_fit,3,True,0,full,9.42409131314788,9.962343411406472
